Datetime,DailyMinimumDryBulbTemperature
2013-11-04,8.0
2013-11-05,15.0
2013-11-06,26.0
2013-11-07,39.0
2013-11-08,24.0
2013-11-09,18.0
2013-11-10,19.0
2013-11-11,20.0
2013-11-12,36.0
2013-11-13,26.0
2013-11-14,20.0
2013-11-15,17.0
2013-11-16,33.0
2013-11-17,17.0
2013-11-18,17.0
2013-11-19,38.0
2013-11-20,27.0
2013-11-21,20.0
2013-11-22,22.0
2013-11-23,16.0
2013-11-24,6.0
2013-11-25,22.0
2013-11-26,19.0
2013-11-27,19.0
2013-11-28,17.0
2013-11-29,13.0
2013-11-30,22.0
2013-12-01,22.0
2013-12-02,20.0
2013-12-03,12.0
2013-12-04,-1.0
2013-12-05,-10.0
2013-12-06,1.0
2013-12-07,-11.0
2013-12-08,-27.0
2013-12-09,-22.0
2013-12-10,-11.0
2013-12-11,-6.0
2013-12-12,1.0
2013-12-13,14.0
2013-12-14,9.0
2013-12-15,9.0
2013-12-16,10.0
2013-12-17,13.0
2013-12-18,11.0
2013-12-19,10.0
2013-12-20,4.0
2013-12-21,21.0
2013-12-22,20.0
2013-12-23,17.0
2013-12-24,16.0
2013-12-25,10.0
2013-12-26,10.0
2013-12-27,10.0
2013-12-28,8.0
2013-12-29,5.0
2013-12-30,9.0
2013-12-31,10.5
2014-01-01,12.0
2014-01-02,13.0
2014-01-03,16.0
2014-01-04,8.0
2014-01-05,1.0
2014-01-06,13.0
2014-01-07,24.0
2014-01-08,23.0
2014-01-09,27.0
2014-01-10,17.0
2014-01-11,26.0
2014-01-12,17.0
2014-01-13,13.0
2014-01-14,8.0
2014-01-15,5.0
2014-01-16,5.0
2014-01-17,7.0
2014-01-18,9.0
2014-01-19,12.0
2014-01-20,5.0
2014-01-21,9.0
2014-01-22,7.0
2014-01-23,19.0
2014-01-24,17.0
2014-01-25,12.0
2014-01-26,11.0
2014-01-27,15.0
2014-01-28,34.0
2014-01-29,32.0
2014-01-30,25.0
2014-01-31,12.0
2014-02-01,5.0
2014-02-02,12.0
2014-02-03,17.0
2014-02-04,4.0
2014-02-05,6.0
2014-02-06,26.0
2014-02-07,31.0
2014-02-08,39.0
2014-02-09,36.0
2014-02-10,31.0
2014-02-11,26.0
2014-02-12,38.0
2014-02-13,38.0
2014-02-14,43.0
2014-02-15,39.0
2014-02-16,23.0
2014-02-17,23.0
2014-02-18,24.0
2014-02-19,23.0
2014-02-20,17.0
2014-02-21,22.0
2014-02-22,16.0
2014-02-23,17.0
2014-02-24,25.0
2014-02-25,22.0
2014-02-26,31.0
2014-02-27,30.0
2014-02-28,26.0
2014-03-01,35.0
2014-03-02,37.0
2014-03-03,35.0
2014-03-04,33.0
2014-03-05,35.0
2014-03-06,34.0
2014-03-07,28.0
2014-03-08,24.0
2014-03-09,43.0
2014-03-10,28.0
2014-03-11,20.0
2014-03-12,22.0
2014-03-13,18.0
2014-03-14,26.0
2014-03-15,19.0
2014-03-16,24.0
2014-03-17,29.0
2014-03-18,23.0
2014-03-19,16.0
2014-03-20,18.0
2014-03-21,17.0
2014-03-22,15.0
2014-03-23,16.0
2014-03-24,17.0
2014-03-25,22.0
2014-03-26,31.0
2014-03-27,27.0
2014-03-28,35.0
2014-03-29,33.0
2014-03-30,30.0
2014-03-31,27.0
2014-04-01,28.0
2014-04-02,28.0
2014-04-03,23.0
2014-04-04,26.0
2014-04-05,27.0
2014-04-06,33.0
2014-04-07,27.0
2014-04-08,30.0
2014-04-09,36.0
2014-04-10,32.0
2014-04-11,30.0
2014-04-12,35.0
2014-04-13,33.0
2014-04-14,22.0
2014-04-15,30.0
2014-04-16,34.0
2014-04-17,30.0
2014-04-18,34.0
2014-04-19,28.0
2014-04-20,26.0
2014-04-21,30.0
2014-04-22,33.0
2014-04-23,31.0
2014-04-24,35.0
2014-04-25,32.0
2014-04-26,30.0
2014-04-27,37.0
2014-04-28,28.0
2014-04-29,27.0
2014-04-30,30.0
2014-05-01,28.0
2014-05-02,34.0
2014-05-03,36.0
2014-05-04,45.0
2014-05-05,37.0
